year,time
1888,page not found
1889,no 5000m race
1890,no 5000m race
1891,no 5000m race
1892,page not found
1893,"9.59,0"
1894,"9.32,0"
1895,"8.41,0"
1896,"9.03,2"
1897,no 5000m race
1898,"8.52,2"
1899,"9.54,6"
1900,"9.34,2"
1901,"9.56,8"
1902,"9.20,6"
1903,"10.08,0"
1904,"9.28,2"
1905,"9.17,6"
1906,"9.45,2"
1907,"9.27,6"
1908,"8.55,4"
1909,"8.45,0"
1910,"9.27,9"
1911,"9.10,2"
1912,"8.45,2"
1913,"8.43,4"
1914,"9.20,6"
1915,page not found
1916,page not found
1917,page not found
1918,page not found
1919,page not found
1920,page not found
1921,page not found
1922,"8.26,5"
1923,"9.06,2"
1924,"8.54,5"
1925,"8.43,3"
1926,"8.42,7"
1927,"8.53,5"
1928,"8.28,8"
1929,"9.03,2"
1930,"8.28,7"
1931,winner not found - please add data by hand
1932,"8.37,6"
1933,"8.42,5"
1934,"10.03,0"
1935,"8.30,0"
1936,"8.32,5"
1937,"8.28,6"
1938,"8.20,2"
1939,"9.31,0"
1940,page not found
1941,page not found
1942,page not found
1943,page not found
1944,page not found
1945,page not found
1946,page not found
1947,"8.33,7"
1948,"8.37,5"
1949,"9.09,4"
1950,"9.15,4"
1951,"8.27,9"
1952,"8.16,8"
1953,"8.26,0"
1954,"8.21,9"
1955,"8.33,0"
1956,"8.07,7"
1957,"8.08,9"
1958,"8.31,5"
1959,"8.12,1"
1960,"8.06,1"
1961,"7.58,0"
1962,"8.03,2"
1963,"7.34,3"
1964,"7.41,3"
1965,"7.33,2"
1966,"7.42,8"
1967,"7.30,4"
1968,"7.25,00"
1969,"7.24,10"
1970,"7.28,6"
1971,"7.18,8"
1972,"7.22,84"
1973,"7.47,03"
1974,"7.23,55"
1975,"7.31,72"
1976,"7.08,72"
1977,"7.06,40"
1978,"7.20,80"
1979,"6.59,15"
1980,"7.14,51"
1981,"7.16,17"
1982,"7.13,65"
1983,"7.05,05"
1984,winner not found - please add data by hand
1985,"7.05,59"
1986,"6.54,91"
1987,no 5000m race
1988,"6.55,60"
1989,"7.03,52"
1990,"6.56,82"
1991,"6.41,73"
1992,"6.42,15"
1993,"6.43,86"
1994,"7.11,63"
1995,"6.56,66"
1996,"6.51,20"
1997,"6.43,26"
1998,"6.33,09"
1999,"6.27,50"
2000,"6.26,14"
2001,"6.43,69"
2002,"6.30,27"
2003,"6.42,67"
2004,"6.20,61"
2005,"6.22,31"
2006,"6.09,97"
2007,"6.12,97"
2008,"6.13,35"
2009,"6.09,74"
2010,"6.19,63"
2011,"6.10,99"
2012,"6.14,23"
2013,"6.13,42"
2014,"6.17,78"
2015,"6.07,49"
2016,"6.14,13"
2017,"6.12,33"
2018,no 5000m race
2019,"6.08,27"
2020,"6.14,35"
