"","year","time"
"1",1888,NA
"2",1889,NA
"3",1890,NA
"4",1891,NA
"5",1892,NA
"6",1893,1221.4
"7",1894,1152.4
"8",1895,1076
"9",1896,1132.4
"10",1897,1202.4
"11",1898,1120
"12",1899,1236.2
"13",1900,NA
"14",1901,1213.2
"15",1902,NA
"16",1903,1335
"17",1904,1171
"18",1905,1156
"19",1906,1143.6
"20",1907,NA
"21",1908,1081.8
"22",1909,1097.4
"23",1910,1114
"24",1911,1093
"25",1912,1066.3
"26",1913,1057.8
"27",1914,1127.6
"28",1915,NA
"29",1916,NA
"30",1917,NA
"31",1918,NA
"32",1919,NA
"33",1920,NA
"34",1921,NA
"35",1922,1057.5
"36",1923,1078.4
"37",1924,1085.9
"38",1925,1081.5
"39",1926,NA
"40",1927,1085.8
"41",1928,1037.4
"42",1929,1077
"43",1930,1073.7
"44",1931,1102.2
"45",1932,1078
"46",1933,1063.6
"47",1934,1143.5
"48",1935,1068.5
"49",1936,1071.4
"50",1937,1045.3
"51",1938,1034.4
"52",1939,1159.5
"53",1940,NA
"54",1941,NA
"55",1942,NA
"56",1943,NA
"57",1944,NA
"58",1945,NA
"59",1946,NA
"60",1947,1057
"61",1948,1068.8
"62",1949,1122
"63",1950,1060.8
"64",1951,1171.8
"65",1952,1023.5
"66",1953,1042.2
"67",1954,1058.7
"68",1955,NA
"69",1956,1003.3
"70",1957,993.9
"71",1958,NA
"72",1959,1020.8
"73",1960,1013.7
"74",1961,995.9
"75",1962,989.4
"76",1963,933
"77",1964,966.9
"78",1965,947.7
"79",1966,981.6
"80",1967,951.7
"81",1968,926.8
"82",1969,962.9
"83",1970,922.6
"84",1971,901.6
"85",1972,NA
"86",1973,945.98
"87",1974,918.55
"88",1975,924.96
"89",1976,912.25
"90",1977,888.75
"91",1978,906.57
"92",1979,883.11
"93",1980,902.39
"94",1981,891.38
"95",1982,895.2
"96",1983,882.93
"97",1984,900.3
"98",1985,888.54
"99",1986,852.14
"100",1987,843.92
"101",1988,861.7
"102",1989,873.72
"103",1990,875.87
"104",1991,823.54
"105",1992,835.63
"106",1993,826.34
"107",1994,889.58
"108",1995,NA
"109",1996,862.3
"110",1997,821.66
"111",1998,809.19
"112",1999,808.2
"113",2000,803.94
"114",2001,824.19
"115",2002,807.25
"116",2003,845.04
"117",2004,797.86
"118",2005,786.79
"119",2006,771.6
"120",2007,769.88
"121",2008,NA
"122",2009,785.21
"123",2010,777.97
"124",2011,773.89
"125",2012,NA
"126",2013,791.86
"127",2014,793.93
"128",2015,776.69
"129",2016,787.19
"130",2017,790.45
"131",2018,820.38
"132",2019,771.17
"133",2020,782.45
"134",2021,NA
